first_name,last_name,birth_date,hire_date
Uri,Delgrande,1955-10-15,1987-12-11
Alselm,Kisuki,1955-02-23,1986-12-20
Oscal,Ranft,1954-07-18,1988-05-25
Along,Socorro,1953-05-01,1986-09-23
Constantine,Himler,1954-12-27,1987-06-23
Geraldo,Plessier,1953-02-03,1987-09-11
Chuanyi,Androutsos,1954-10-13,1985-07-17
Itzchak,Shihab,1953-08-06,1988-04-07
Richara,Garnham,1955-08-19,1987-12-19
DAIDA,Pappas,1952-09-19,1987-08-02
Moni,Krichel,1952-07-10,1987-05-25
Lenore,Angelopoulos,1953-04-12,1985-05-18
Uzi,Broomell,1954-10-31,1986-07-24
Adam,Kisuki,1954-07-09,1987-09-06
Bedrich,Vitiello,1953-04-18,1988-10-10
Christ,Kowalchuk,1952-03-02,1985-03-14
Charmane,Hiltgen,1955-09-22,1987-10-04
Satosi,Biran,1954-06-07,1988-02-25
Francesca,Aseltine,1954-02-04,1986-08-03
Frederique,Zweizig,1952-11-09,1985-08-07
Hauke,Validov,1953-12-27,1985-11-25
Abdulla,Marshall,1954-09-07,1986-07-05
Rasikan,Boyle,1953-01-31,1988-11-07
Nechama,Boguraev,1954-02-26,1987-06-08
Berry,Gonthier,1954-05-05,1986-12-22
Mang,Arlazarov,1953-10-28,1987-12-31
Conal,Kisuki,1952-03-12,1988-01-20
Wanqing,Serov,1952-09-03,1988-03-04
Fuqing,Syang,1954-09-07,1985-11-30
Munenori,Champarnaud,1955-07-22,1988-09-29
Yoshimitsu,Maraist,1955-03-27,1987-04-27
Pranas,Masand,1952-09-18,1988-07-13
Yolla,Hutton,1952-11-16,1988-11-13
Ziya,Kolinko,1952-08-02,1986-01-31
Shichao,Stranks,1953-05-28,1987-05-16
Menkae,Michaeli,1952-07-07,1988-03-15
Yoshinari,Rathonyi,1955-12-26,1986-11-03
Sampalli,Zultner,1955-10-12,1988-08-29
Moheb,Journel,1955-09-03,1985-05-07
Sudhanshu,Calkin,1955-02-20,1987-03-31
Lakshmi,Gente,1954-05-06,1988-04-09
Gilbert,Preusig,1953-02-28,1985-07-15
Chiranjit,Birrer,1954-10-29,1987-02-11
Jiann,Pauthner,1952-10-20,1986-01-31
Kristof,Ducloy,1952-11-12,1987-04-24
Arve,Mullainathan,1953-12-06,1988-10-05
Barry,Kroha,1954-12-23,1986-08-10
Maria,Bennis,1954-01-11,1988-01-29
Mostafa,Trachtenberg,1954-02-02,1985-08-03
Uriel,Nitto,1953-08-25,1987-01-04
Jianwen,Nicolson,1954-11-16,1986-06-28
Torsten,Birke,1954-09-04,1986-02-07
Kankanahalli,Demizu,1953-01-27,1988-08-30
Houman,Pokrovskii,1954-02-26,1988-02-10
Moni,Hoogerwoord,1954-05-17,1988-04-26
Boalin,Rodite,1953-10-15,1986-08-19
Conor,Montemayor,1953-11-08,1987-06-23
Tokuyasu,Pesch,1953-11-14,1985-03-26
Jungsoon,Armand,1953-12-07,1987-08-05
Idoia,Petersohn,1954-03-29,1985-02-23
Sukumar,Fontet,1952-10-17,1986-05-07
Aron,Pouyioutas,1955-02-13,1988-02-16
Shawna,Bernick,1954-08-04,1985-07-23
Almudena,Bugrara,1952-09-04,1987-07-31
Kazuhira,Baalen,1953-09-22,1987-11-24
Zhongwei,Streng,1954-11-04,1986-08-26
Mohua,Munck,1953-11-17,1988-12-06
Odysseas,Felder,1954-03-17,1985-12-10
Mats,Kilgore,1953-07-05,1987-01-01
Debatosh,Beerel,1952-02-03,1987-12-07
Yonghoan,Bahl,1952-10-12,1988-03-13
Temple,Thambidurai,1955-07-30,1988-11-21
Minghong,Himler,1952-08-18,1987-10-14
Xuedong,Feldhoffer,1954-05-10,1988-09-04
Christophe,Segond,1953-05-13,1986-08-08
Houman,Hmelo,1952-03-13,1988-10-18
Chenye,Fontan,1954-08-28,1986-05-10
Mabry,Biros,1953-11-01,1987-03-06
Keung,Botman,1953-05-17,1985-12-25
Marsal,Eppinger,1955-10-11,1987-05-27
Kwee,Lally,1954-02-21,1986-07-11
Koichi,Hooghiemstra,1952-12-22,1985-12-19
Karoline,Furedi,1955-08-28,1988-10-19
Zhigen,Aseltine,1953-10-31,1986-01-23
Kwan,Giveon,1952-03-26,1988-03-15
Monique,Thombley,1953-05-01,1987-09-29
Zhonghua,Otillio,1955-12-17,1986-11-08
Danil,Kaminger,1952-11-19,1987-12-31
Zhensheng,Seiwald,1954-09-18,1987-02-13
Shunichi,Mandelberg,1952-08-31,1987-01-17
Rafael,Reutenauer,1952-09-26,1986-04-11
Khatoun,Zambonelli,1953-11-09,1987-04-26
Bedir,Rassart,1952-07-22,1985-10-11
Guozhong,Thisen,1952-09-04,1986-12-05
Kankanahalli,Swist,1955-11-24,1986-11-23
Kwangyoen,Kroha,1953-12-27,1987-06-12
Sanjeeva,Covnot,1953-07-08,1985-04-01
Syozo,Hasham,1952-03-21,1986-06-25
Serif,Miculan,1953-09-07,1988-09-28
Sajjad,Benzmuller,1955-07-08,1985-02-02
Goa,Capobianchi,1952-06-17,1987-11-29
Ghassan,Haumacher,1952-07-25,1987-07-07
Hiroyasu,Bodoff,1954-05-12,1988-06-24
Beshir,Murthy,1953-03-21,1988-12-16
Sudharsan,Quadeer,1954-04-09,1986-10-07
Panayotis,Karner,1955-08-21,1987-11-07
Yuguang,Limongiello,1955-11-08,1986-04-22
Chiranjit,Dayang,1955-11-13,1985-04-05
Karlis,Heping,1955-08-09,1985-12-24
Susuma,Ladret,1953-03-10,1987-05-07
Dmitri,Lakshmanan,1954-01-30,1986-06-03
Luigi,Brattka,1955-11-19,1985-03-02
Luerbio,Onuegbe,1953-01-11,1988-08-14
Claudi,Glinert,1953-03-04,1986-12-24
Uwe,Ohori,1952-10-13,1985-03-27
Shim,Luga,1955-08-01,1986-10-28
Shridhar,Gruenwald,1955-01-06,1987-02-28
Guozhong,Bresenham,1953-06-26,1988-08-02
Duri,Kalloufi,1954-08-01,1986-02-03
Sugwoo,Streit,1955-11-22,1985-07-23
Douadi,Conia,1952-07-26,1987-07-04
Zongyan,Winter,1952-04-29,1987-08-26
JoAnna,Neimat,1952-12-12,1986-02-02
Fun,Marchesini,1954-09-21,1985-03-15
Becky,McClure,1955-03-12,1985-11-03
Greger,Heuser,1953-01-02,1988-06-23
Jackson,Schmezko,1952-02-28,1985-07-06
Maya,Birnbaum,1954-03-06,1988-03-01
Kendra,Vesel,1953-09-06,1985-06-22
Shaibal,Mitzlaff,1954-04-03,1988-12-22
Fatemeh,Billingsley,1955-04-15,1986-07-21
Hatem,Boyle,1953-04-01,1987-06-03
Geraldo,Krichel,1955-01-04,1986-01-17
Shietung,Selenyi,1953-01-15,1986-10-22
Bojan,Luft,1955-11-26,1987-06-09
Deniz,Famili,1955-05-06,1986-05-28
Martine,Haldar,1955-12-21,1987-03-03
Doohun,Krzyzanowski,1954-10-17,1987-03-01
Sanjit,Petereit,1953-05-22,1987-04-01
Keiichiro,Chimia,1954-11-16,1986-10-22
Ingemar,Baja,1953-03-09,1987-05-06
Alexius,Georg,1952-03-27,1987-01-18
Sachem,Vakili,1955-05-12,1986-05-22
Fatemeh,Nivat,1952-08-15,1985-07-04
Nishit,Zolotykh,1952-06-08,1986-09-19
Dmitri,Verspoor,1953-07-31,1986-07-20
Lidong,Baezner,1955-03-03,1985-10-10
Basant,Garnier,1955-03-02,1985-02-27
Alois,Chinal,1955-03-06,1985-03-20
Emran,Isard,1955-04-10,1986-11-28
Bedir,Shigei,1954-08-03,1985-03-11
Turgut,Douceur,1955-12-14,1987-04-26
Eran,Thombley,1952-03-14,1985-12-28
Mario,Eastman,1953-05-22,1986-01-25
Moon,Mitsuhashi,1954-05-14,1985-05-14
Yinghua,Businaro,1953-07-30,1985-05-24
Odinaldo,Spelt,1953-06-02,1986-03-12
Atilio,Gente,1953-08-18,1985-10-09
Sreenivas,Heinisuo,1953-02-25,1987-02-04
Toshimo,Besancenot,1952-04-26,1985-05-21
Aluzio,Panienski,1954-05-09,1987-11-14
Sanjai,Rando,1955-07-17,1986-02-07
Brigham,Teitelbaum,1955-06-04,1987-03-17
Zhanqiu,Ramsak,1953-07-28,1987-01-11
Mingdong,Snyers,1955-02-13,1987-07-13
Pasqua,Gelosh,1955-07-23,1985-12-29
Jaideep,Thebaut,1955-09-08,1988-11-24
Nalini,Lorcy,1954-08-01,1987-06-07
Toong,Ananiadou,1954-07-17,1987-07-30
LiMin,Demke,1952-11-07,1988-11-01
Baruch,Engberts,1954-02-01,1988-09-19
Christophe,Fetvedt,1953-01-27,1986-04-28
Kwangjo,Buchter,1955-09-26,1985-09-12
Zhiguo,Wielonsky,1953-05-16,1987-03-05
Yuqun,Bolotov,1953-04-15,1987-08-06
Tooru,Pashtan,1954-04-01,1988-06-01
Toney,Pocchiola,1953-06-30,1986-09-04
Iara,Lanzelotte,1955-04-26,1987-04-26
Karlis,Laventhal,1955-12-12,1985-11-24
Sachem,Valtorta,1952-02-20,1987-11-18
Sudhanshu,Herber,1955-11-16,1985-06-10
Zhongwei,Feinberg,1952-12-10,1987-11-22
Aamod,Cronan,1954-09-08,1987-05-27
Abdelkader,Pettis,1955-03-01,1988-08-31
Maris,Zykh,1955-11-25,1987-08-14
Odysseas,Anick,1953-03-19,1986-04-04
Shigenori,Mitchem,1953-11-24,1986-06-07
Zhaofang,Luke,1952-08-08,1987-12-14
Val,Vitiello,1955-09-09,1987-02-08
Souichi,Boissier,1954-02-16,1987-04-04
Munir,Montresor,1955-12-09,1986-03-12
Sadok,Baek,1954-04-28,1988-10-23
Georgy,Haddadi,1954-10-29,1986-04-20
Dinah,Zielinski,1954-02-05,1987-01-28
Shay,Vandervoorde,1954-05-08,1988-06-24
Weiye,Gurbaxani,1953-08-08,1985-08-22
Vishu,Juneja,1954-11-15,1988-08-04
Georg,Uhrik,1955-10-31,1988-05-23
Bernice,Coors,1955-09-12,1987-02-26
Ayonca,Ghemri,1952-10-04,1985-04-15
Mohammed,Koblick,1955-08-16,1988-04-22
Phule,Kriebel,1952-09-13,1987-06-23
Vishu,Schwabacher,1952-11-07,1988-12-08
Nagui,Gill,1955-02-03,1988-04-14
Chiranjit,Terekhov,1953-12-08,1988-04-22
Martien,Covnot,1952-02-19,1988-05-23
Gil,Streng,1952-05-02,1987-06-09
Xudong,Greibach,1953-07-17,1986-12-08
Seshu,Baek,1955-05-23,1985-09-29
Amabile,Seuren,1953-01-07,1986-12-26
JoAnne,Serov,1952-02-22,1985-04-22
Eberhardt,Raczkowsky,1955-12-25,1988-09-22
Janche,Cools,1954-08-26,1985-10-15
Goh,Reinhart,1953-08-06,1985-04-15
Kagan,Cichocki,1953-06-07,1988-02-09
Poornachandra,Kuszyk,1953-10-02,1985-10-14
Cheong,Zaumen,1954-10-31,1987-04-21
Kamakshi,Pehl,1954-11-26,1987-05-24
Vishu,Cappelli,1953-06-14,1988-06-05
Divier,Azevdeo,1953-08-16,1987-07-21
Valdiodio,Potthoff,1954-12-25,1987-07-11
Lalit,Hmelo,1952-10-27,1985-06-17
Zeydy,Munoz,1952-05-29,1988-04-07
Adhemar,Nitta,1955-10-01,1987-01-25
Aram,Kawashima,1954-11-18,1985-11-20
Amabile,Gimbel,1953-03-16,1986-03-24
Tetsurou,Suppi,1953-03-03,1988-10-19
Foong,Beetstra,1952-12-11,1987-10-07
Shih,Shihab,1955-07-30,1985-11-30
Oldrich,Kleiser,1954-11-17,1988-02-22
Kendra,Perna,1953-09-16,1986-04-02
Godehard,Cappelletti,1953-04-02,1987-02-16
Vishv,Kaiser,1954-04-19,1987-07-01
Leif,Klyachko,1952-08-31,1985-05-28
Tamiya,Blokdijk,1953-04-24,1985-02-20
Vishv,Liedekerke,1953-05-10,1988-12-30
Souichi,Orsini,1955-01-23,1985-07-18
Marek,Heinisuo,1952-12-23,1985-11-20
Ymte,Zongker,1954-05-30,1986-11-05
Aloys,Pauthner,1954-09-21,1987-09-05
Xiaobin,Radhakrishnan,1954-09-29,1987-05-22
Shuzo,Mahmud,1953-06-05,1985-05-24
Aemilian,Hammerschmidt,1953-09-12,1985-08-02
Seongbin,Gadepally,1952-05-28,1985-08-29
Lenore,Valette,1955-02-22,1986-07-04
Ennio,Frolund,1954-06-25,1988-02-21
Toshimi,Sidou,1955-02-02,1987-06-28
Francesca,Chandrasekhar,1955-07-15,1987-09-11
Tua,Chiola,1953-08-01,1988-08-18
Menkae,Christianini,1952-12-30,1985-09-07
Bezalel,Puppe,1953-07-30,1986-02-01
Miomir,Karcich,1953-02-05,1987-08-26
Perla,Rehfuss,1952-06-03,1986-11-14
Almudena,Zumaque,1954-08-01,1986-08-10
Peer,Flowers,1952-12-06,1988-06-25
Licheng,Lorho,1953-05-10,1986-03-10
Irena,Rissanen,1953-01-31,1986-02-17
Saeko,Radhakrishnan,1952-11-23,1988-07-22
Ravishankar,Pollacia,1955-04-11,1986-02-10
Alassane,Iacovou,1952-12-07,1985-07-01
Reinhard,Lubachevsky,1954-11-11,1986-11-11
Teunis,Chvatal,1955-08-03,1985-07-05
Alexius,Candan,1955-06-27,1986-05-05
Yinghua,Cardazo,1953-03-30,1986-07-11
Arie,Schlegelmilch,1955-06-15,1987-12-20
Gou,Ballarin,1954-12-11,1987-05-27
Marsal,Pena,1954-09-04,1986-06-21
Utpal,Unni,1953-06-19,1987-12-24
Chaosheng,Senzako,1954-07-15,1988-10-20
Joydip,Lueh,1953-11-13,1985-11-07
Margo,Ishibashi,1955-05-30,1986-03-20
Billur,Brandsma,1953-05-15,1987-05-08
Berry,Puppo,1952-07-23,1986-03-01
George,Larfeldt,1952-08-19,1988-07-11
Arve,Avouris,1952-10-08,1986-09-13
Arun,Swan,1952-08-02,1985-06-05
Thanasis,Varman,1954-01-08,1986-02-17
Duke,Lakshmanan,1955-07-18,1985-10-19
Shay,Valtorta,1955-12-10,1986-02-08
Pranjal,Rajaraman,1954-12-25,1988-04-06
Zengping,Talmor,1952-10-27,1987-01-24
DAIDA,Schusler,1952-06-28,1986-01-19
Zhigen,Motley,1955-04-15,1985-03-10
Franziska,Dalton,1954-08-14,1986-04-22
Khedija,Karner,1955-04-26,1988-02-08
Keung,Peot,1952-10-19,1985-04-24
Leszek,Waeselynck,1955-08-21,1988-09-16
Fatemeh,Sluis,1952-07-31,1988-06-11
Shigeo,Servieres,1953-07-30,1986-05-07
Yuichiro,Zallocco,1954-04-24,1985-08-06
Kenroku,Hainaut,1952-07-24,1985-02-21
Pantung,Picht,1954-05-13,1987-02-14
Ranan,Gargeya,1954-09-08,1988-10-11
Mabo,Toyoshima,1953-12-14,1985-07-17
Temple,Flasterstein,1952-07-14,1986-08-29
Arunachalam,Michaels,1952-02-28,1985-09-29
Yoshimitsu,Stassinopoulos,1954-07-28,1988-03-01
Sedat,Alameldin,1955-02-23,1985-12-17
Kwok,Liesche,1954-11-01,1987-02-17
Avishai,Percebois,1955-06-09,1986-12-09
Ferdinand,Tempesti,1955-12-04,1986-11-01
Richard,Barreiro,1952-09-17,1986-03-24
Gila,Limongiello,1952-02-04,1985-08-26
Mang,Rande,1953-06-05,1985-11-18
Guiseppe,Tomescu,1952-12-12,1986-03-19
Huican,Bahk,1955-03-08,1988-02-14
Padma,Pell,1955-05-11,1988-03-13
Ferdinand,Krupka,1954-12-14,1985-04-17
Shigehiro,Shackel,1955-09-02,1988-01-27
Wojceich,Dolinsky,1955-08-20,1987-07-13
Xiong,Lamparter,1952-06-07,1988-04-16
Jessie,Alpin,1955-02-15,1986-01-03
Perla,Jullig,1955-10-01,1987-03-09
Ottavia,Wissmann,1952-06-25,1987-04-22
Candido,Coombs,1953-01-26,1988-11-04
Along,Bruckman,1953-03-12,1988-05-14
Gopalakrishnan,Lanphier,1952-06-08,1986-05-31
Shaowen,McFarlin,1952-04-23,1985-05-21
Aloys,Albarhamtoshy,1953-03-15,1987-08-17
Girolamo,Legleitner,1952-06-12,1987-07-21
Denny,Gulik,1955-02-26,1988-01-02
Navid,Lodder,1953-10-06,1986-10-31
Lena,Marsiglia,1952-07-24,1985-06-22
Shuho,Schwartzburd,1952-11-26,1985-11-04
Xiaocheng,Litzler,1955-05-24,1988-07-27
Ronnie,Harnett,1952-04-17,1987-02-19
Rafael,Spell,1953-09-13,1985-11-06
King,Monkewich,1953-01-28,1986-06-18
Huiqun,Kandlur,1954-11-29,1986-08-24
Guoxiang,Nanard,1954-10-31,1986-04-21
Renny,Clouatre,1953-03-09,1986-11-09
Barry,Ghemri,1954-06-01,1985-07-19
Yuichiro,Brendel,1954-01-11,1988-07-09
Hausi,Desikan,1952-10-08,1986-07-15
Jianhao,Hedayat,1955-02-25,1985-12-14
Maja,Ebeling,1954-10-03,1988-12-05
Janalee,Boudaillier,1954-12-03,1988-07-25
Anwar,Huhdanpaa,1955-03-02,1987-03-14
Danco,Kowalchuk,1955-04-20,1985-11-21
Sanjoy,Melichar,1955-01-02,1987-05-16
Peer,Showalter,1955-10-11,1987-09-18
Oddvar,Schnelling,1953-12-09,1987-08-12
Behnaam,Munke,1954-01-03,1987-03-14
Naraig,Bouloucos,1953-09-14,1986-03-12
Moheb,Gruenwald,1953-12-30,1986-03-28
Adas,Baaleh,1953-05-10,1988-12-28
Limsoon,Hemaspaandra,1954-06-11,1985-09-09
Shiv,Mitsuhashi,1952-11-14,1985-04-18
Chikara,Khalid,1954-12-21,1985-06-24
Gad,Plotkin,1955-09-27,1987-06-08
Padma,Lanzelotte,1954-12-14,1985-02-09
Yongdong,Eiron,1953-08-01,1988-04-28
Wilmer,Arlazarov,1954-01-17,1985-03-25
Zhenbing,Malabarba,1954-06-06,1985-06-29
Garnik,Dredge,1954-02-04,1986-08-18
Ortrun,Schonegge,1953-03-27,1985-02-13
Panayotis,Litzkow,1952-09-03,1987-10-17
Patricia,Fetvedt,1954-07-29,1988-06-12
Zsolt,Kriebel,1952-02-24,1988-02-10
Christfried,Matheson,1953-09-07,1987-08-20
Hailing,Denna,1954-10-21,1987-06-20
Sandeepan,Lorch,1954-01-28,1985-08-19
JoAnna,Maccarone,1955-04-08,1986-08-31
Ioana,Ginesta,1955-01-10,1987-10-15
Sajjad,Vural,1953-07-27,1988-06-29
Arunas,DasSarma,1955-12-06,1985-10-13
Masasuke,Heyers,1953-02-01,1986-04-28
Paddy,Gluchowski,1955-01-04,1988-06-12
Aemilian,Denti,1954-10-22,1988-09-10
Masato,Xiaoshan,1954-05-11,1988-03-21
Vidar,Hettesheimer,1955-07-31,1985-03-14
Duke,Garnick,1953-08-03,1986-10-26
Remco,Kalorkoti,1954-11-08,1988-12-11
Radoslaw,Fendler,1954-11-23,1985-11-22
Chuanti,Welham,1955-10-20,1988-09-03
Rafael,Bednarek,1955-08-04,1988-02-04
Mokhtar,Bernatsky,1953-08-18,1986-08-05
Ulf,Wiegley,1952-07-06,1986-03-23
Uno,Colorni,1955-04-16,1985-12-26
Inderjeet,Rodiger,1953-06-21,1987-03-10
Toshimori,Schlegelmilch,1952-11-23,1985-10-02
Yurii,Demir,1953-02-09,1988-06-02
Leon,Schrooten,1955-08-25,1987-08-24
Sakthirel,Emmerich,1954-07-06,1987-11-05
Mohit,Preusig,1952-05-13,1985-05-21
Youssef,Vrecion,1952-12-16,1986-04-10
Udi,Bultermann,1953-12-20,1986-05-21
Charlene,Fabrizio,1952-03-15,1986-02-13
Susumu,DuCasse,1955-04-10,1988-12-15
Ennio,Conde,1954-06-04,1988-11-22
Laurentiu,Weisert,1955-04-12,1987-02-02
Lucien,Cunliffe,1952-08-23,1987-07-03
Genevieve,Varman,1955-11-21,1986-12-02
Charmane,Speek,1952-04-09,1986-03-27
Giordano,Emden,1954-03-09,1985-10-03
Iara,Whittlesey,1955-07-05,1986-12-16
Yoshinari,Kavvadias,1954-02-23,1987-09-15
Kiyotoshi,Kragelund,1953-03-22,1985-03-18
Shunichi,Barinka,1953-08-22,1988-05-14
Ramzi,Brobst,1952-02-28,1987-01-13
Sven,Nollmann,1955-10-20,1986-02-17
Zita,Katzenelson,1952-03-15,1985-07-22
Barun,Grabner,1953-06-18,1988-06-04
Arumugam,Wynblatt,1953-03-28,1986-03-31
Hatsukazu,Murrill,1952-03-05,1985-08-13
Houman,Marciano,1953-01-13,1985-05-03
Yongdong,Reistad,1952-09-08,1986-10-09
Hilari,Pocchiola,1955-12-14,1988-04-03
Ferdinand,Dymetman,1955-06-02,1985-06-04
Weidon,Kobuchi,1955-04-24,1985-11-09
Thodoros,Edelhoff,1955-08-22,1988-05-18
Sachem,Bach,1955-08-22,1987-06-27
Leif,dAstous,1952-12-18,1986-05-28
Yefim,Decleir,1953-05-24,1986-06-20
Nechama,Przulj,1954-10-30,1986-06-08
Tze,Karlin,1954-05-13,1985-08-13
Owen,Uehara,1955-09-16,1985-06-04
Kiam,Carrera,1955-11-14,1988-12-13
Mong,Shiratori,1955-06-17,1987-04-02
Rosine,Berztiss,1953-04-30,1985-12-10
Constantine,Hmelo,1953-10-09,1988-03-11
Yakichi,Lamba,1955-05-26,1988-03-05
Padma,Karnin,1954-07-11,1985-05-24
Susanta,Rebaine,1954-05-01,1988-09-26
Susumu,Vieth,1955-03-28,1988-02-05
Masako,Tzvieli,1954-09-08,1985-03-15
Harjit,Paludetto,1954-04-05,1987-06-21
Shuji,Ananiadou,1955-10-08,1985-12-09
Stepehn,Linares,1955-12-29,1988-10-31
Ortrun,Kolvik,1952-05-31,1988-01-26
Nadjib,Standera,1952-03-18,1985-11-30
Unal,Zambonelli,1954-11-11,1988-11-21
Sham,Przulj,1953-05-15,1986-10-03
Masaki,Mahnke,1954-07-09,1987-02-24
Emdad,Zykh,1952-10-15,1985-05-05
Koichi,Conta,1955-08-08,1985-08-08
Hideyuki,Braunmuhl,1954-05-12,1986-03-12
Ferdinand,Schahn,1953-03-11,1986-01-29
Martina,Leivant,1953-09-16,1987-05-05
Ibibia,Junet,1953-01-31,1985-05-20
Pranav,Rosay,1953-12-02,1985-06-10
Filipp,Christianini,1954-05-29,1986-09-15
Naraig,Vanwelkenhuysen,1953-01-19,1988-08-05
Alenka,Keohane,1954-12-18,1986-06-23
Eberhardt,Cusworth,1952-03-08,1985-11-29
Adhemar,Rassart,1954-05-31,1987-06-18
Neelam,Rabehasaina,1953-04-25,1987-10-25
Mong,Keirsey,1953-04-19,1986-05-03
Valdiodio,Chachaty,1954-05-29,1987-03-02
Siamak,Ruther,1954-02-20,1988-02-15
Uno,Schlenzig,1954-12-11,1986-07-25
Ramzi,DuCasse,1953-09-01,1986-12-01
Sivanarayana,Potthoff,1953-08-19,1987-06-11
Tiina,Panangaden,1952-08-18,1987-06-19
Marlo,Veldwijk,1954-08-18,1988-08-26
Khatoun,Kirkerud,1953-07-10,1987-09-01
Yuping,Sinitsyn,1955-12-13,1987-04-12
Kasidit,Lorys,1952-11-07,1985-04-13
Sachar,Coors,1952-09-11,1988-09-14
Kazuhisa,Bressoud,1954-06-17,1985-05-19
Macha,Baaleh,1954-07-07,1987-11-02
Tesuya,Miara,1954-03-06,1985-10-16
Taizo,Docker,1954-04-05,1985-10-23
Filipp,Krzyzanowski,1955-08-21,1986-03-26
Shao,Coorg,1955-03-17,1985-04-05
Saeed,Frezza,1953-05-03,1986-07-20
Chaoyi,Munawer,1953-10-04,1987-04-26
Masadi,Kusakabe,1953-05-14,1988-09-26
Subir,Cesareni,1952-12-10,1985-03-23
Toshimori,Benveniste,1953-06-27,1986-12-18
Mabhin,Avouris,1952-06-19,1985-07-15
Marie,Unno,1952-06-12,1988-04-01
Heekeun,Rehfuss,1954-04-12,1986-04-04
Phuoc,Fairtlough,1952-04-05,1986-09-01
Ger,Wynblatt,1953-03-03,1988-06-29
Valter,Takanami,1952-07-28,1987-05-03
Goa,Cronin,1952-02-25,1988-12-29
Roded,Yeung,1953-05-16,1988-05-18
Mang,Narlikar,1955-06-16,1988-02-24
LiMin,Dratva,1953-11-22,1988-10-10
Lakshmi,Flexer,1955-07-17,1988-09-26
Goncalo,Douceur,1953-05-15,1986-02-14
Denis,Kisuki,1953-10-13,1986-04-20
Gaetan,Lamparter,1954-12-31,1986-11-10
Bangqing,Miake,1953-08-14,1988-03-12
Jenwei,Frezza,1955-06-02,1985-12-26
Supot,Delgrange,1955-07-17,1985-02-25
Shimshon,Narahari,1953-06-06,1985-03-18
Vojin,Parveen,1955-11-16,1985-10-25
Sergi,Kushnir,1955-01-13,1985-03-01
Almudena,Kropp,1953-02-09,1988-11-07
Yakichi,Marzano,1954-10-28,1986-01-29
Aiichiro,Walston,1952-10-03,1988-07-17
Lubomir,Gente,1954-06-24,1988-11-05
Ferdinand,Sooriamurthi,1953-02-28,1987-03-25
Sangeeta,Garnham,1953-10-05,1987-11-09
Sadun,Ranai,1953-03-27,1987-06-06
Ebbe,Swist,1955-02-24,1986-09-02
Parke,Peot,1953-12-22,1988-04-08
Krisda,Orlowska,1954-08-20,1987-10-08
Marsja,Maccarone,1953-02-21,1987-05-18
Khaled,Matheson,1954-01-08,1985-07-15
Lucien,Luga,1954-02-28,1987-10-20
Dulce,Haldar,1953-02-21,1988-02-13
Adas,Ranze,1952-12-29,1987-06-27
Tiina,McClure,1953-12-08,1987-01-11
Srinidhi,Rahimi,1953-09-28,1985-11-08
Shigehiro,Melski,1955-12-30,1985-08-17
Pascal,Kandlur,1953-06-28,1985-05-05
Brigham,Swab,1953-05-31,1986-09-08
Eric,Selvestrel,1953-09-22,1988-08-12
Radhika,Narlikar,1954-02-27,1988-03-15
Goh,Nannarelli,1954-04-02,1987-06-08
Kerhong,Straney,1952-03-25,1985-07-15
Mang,Paludetto,1952-08-22,1988-11-12
Mostafa,Terlouw,1954-12-24,1987-08-22
Mario,Krupka,1954-01-20,1985-08-28
Nathan,Krohn,1953-04-07,1986-04-12
Tru,Caine,1955-12-08,1985-02-26
Jongsuk,Ushiama,1954-07-14,1987-08-08
Shugo,Nourani,1954-05-29,1988-05-05
Aimee,Nyrup,1954-11-16,1987-02-06
Parto,Marciano,1954-07-01,1988-08-28
Weidon,Scallan,1953-12-14,1985-09-02
DAIDA,Hoppenstand,1955-03-01,1988-03-08
Kinh,Servi,1954-12-27,1986-12-25
Toshimori,Fortenbacher,1954-01-18,1986-04-23
Oddvar,Melski,1954-01-23,1986-05-08
Leni,Shimshoni,1954-02-26,1988-09-08
Mamdouh,Lueh,1952-03-24,1986-12-04
Thanasis,Pews,1955-01-17,1988-01-30
Oscar,Rosar,1954-03-17,1986-04-26
Munehiko,Zhiwei,1954-12-30,1985-02-22
Valter,Marchegay,1955-09-14,1987-09-16
Deborah,Eldridge,1952-09-27,1987-12-27
Tommaso,Plavsic,1952-06-05,1987-06-11
Masato,Ramaiah,1955-06-18,1985-12-29
Makato,Baezner,1955-05-10,1987-04-12
Chiranjit,Bade,1952-09-19,1985-10-05
Nahum,Pell,1955-12-31,1985-10-26
Lakshmi,Velasco,1952-04-14,1986-12-23
Harjit,Thimonier,1953-07-29,1986-05-30
Rimon,Srimani,1954-02-28,1987-07-28
Premsyl,Homond,1955-03-30,1987-05-31
Samphel,Fasbender,1952-04-24,1986-06-23
Valeri,Whittlesey,1954-12-14,1985-03-12
Adin,Eterovic,1953-02-27,1985-10-08
Zhenbing,Swen,1953-04-27,1985-09-12
Kankanahalli,Honiden,1954-11-22,1985-09-02
Limsoon,Lammel,1953-02-19,1987-05-30
Jiafu,Gulla,1952-08-01,1986-01-24
Masako,Polupanov,1954-07-02,1985-06-20
Zissis,Schaad,1955-03-20,1985-02-06
Teruyuki,Broder,1955-06-03,1988-01-28
Jayson,Swen,1954-10-04,1986-03-26
Chikako,Birke,1954-05-18,1987-05-07
Mihalis,Herath,1955-06-17,1988-09-16
Yinlin,Kamble,1955-04-16,1985-09-06
Nishit,Ratnaker,1953-03-23,1986-04-04
Unal,Beidas,1952-04-23,1988-10-20
